,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|D_{t-1})$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|D_{t-1})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1",$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1
10,-98.32156641,,-69.28644085,,-22.13105754,,-47.3287792,,-45.74504782,-52.87601991,-84.30629715,59.99800248,-89.80531208,75.13797782,-104.5520858,,-95.56117489792814,,-20.822753447536968,
11,-91.91506241,,-89.89472931,,-20.20612648,,-72.90863085,,-81.28938155,-10.68691756,-93.1675137,70.60896727,-93.38034406,71.99782174,-111.023347,,-96.95010296315013,,-20.685919759000967,
12,-90.47289732,,-81.58415941,,-20.21102864,,-68.94227106,,-94.74795645,4.291461644,-99.83711514,77.01089997,-100.3421746,82.65088724,-96.43498869,,-101.63018824147184,,-23.067235984142357,
13,-87.9756519,,-84.91807506,,-19.7836378,,-52.6693071,,-96.05556689,8.130370222,-97.25192348,75.01073998,-98.31184079,93.00921478,-94.38281125,,-91.19539826085565,,-19.653127367738904,
14,-98.12390871,,-107.2871432,,-20.73722285,,-87.66021999,,-100.4699839,2.374639961,-93.2880811,70.13550497,-95.5169124,47.29446712,-103.6912772,,-92.44278393767217,,-20.100617019200996,
15,-102.5540739,,-83.689748,,-21.97481573,,-63.1962044,,-69.53445177,-33.26210404,-85.39613716,61.2549314,-84.53355189,56.46787853,-88.74007106,,-96.4661619585695,,-21.080988613233558,
16,-105.5163311,,-105.4978897,,-22.97732894,,-87.21676373,,-100.9410004,-4.604316767,-99.54430771,73.70799221,-99.61248992,65.3847936,-103.7572454,,-96.6917527425594,,-21.16938706023916,
17,-100.9951122,,-110.8331904,,-21.9051303,,-90.84553639,,-102.0565363,1.082355825,-102.8393826,78.07097132,-102.5370204,60.53004311,-116.3716851,,-104.57333644494793,,-22.08044103109603,
18,-96.38287845,,-98.4410411,,-21.0318543,,-76.56517474,,-93.88285611,-2.516183866,-97.58275356,73.98410066,-97.7312787,76.42894901,-100.4360991,,-89.93044268688755,,-20.405444051312088,
19,-104.7957755,,-67.3068365,,-22.63178839,,-71.43570622,,-70.23179558,-34.81982456,-93.15674274,67.99785627,-89.06925523,50.18775341,-81.20620906,,-105.16296170877831,,-22.19682586314697,
20,-107.8722921,,-78.7965195,,-23.90051729,,-64.45296711,,-63.35831464,-44.83985172,-91.88040566,65.43034084,-93.47020837,71.33119325,-94.77223727,,-101.90560673481195,,-21.72941682007439,
21,-91.80428333,,-69.87954741,,-20.01002027,,-68.99886009,,-79.75380288,-12.12052761,-92.01030908,69.7143783,-90.78498053,62.05029082,-90.35587981,,-103.4911852761652,,-21.758628990890884,
22,-103.3045793,,-88.19545933,,-21.99716792,,-97.76811656,,-121.6656494,18.47611922,-113.7843521,88.48273627,-114.422534,81.96870611,-98.00635621,,-102.9594249841848,,-22.535629078730153,
23,-97.08317881,,-105.6445414,,-20.33909332,,-91.78286602,,-105.6009013,8.565800434,-93.54671988,70.79761002,-95.58518915,59.78203758,-95.05602185,,-96.13932101860519,,-21.482557213261657,
24,-103.1753303,,-105.0898393,,-22.11713922,,-75.53752752,,-111.6144339,8.497464334,-95.50354247,70.77255127,-94.73981726,74.11133724,-102.9316203,,-99.74310946805235,,-21.56652070365726,
25,-104.2488277,,-118.1907541,,-22.2570859,,-60.20483195,,-107.1153306,2.87964113,-88.11694604,63.48470671,-86.09306742,71.12568424,-94.4121604,,-100.05341467151084,,-22.111978232161825,
26,-104.8628424,,-105.2589901,,-22.1951976,,-75.56872253,,-97.83588662,-7.071977148,-94.20432197,69.43377657,-94.15339079,71.11880195,-99.25558674,,-99.1073287048821,,-21.585379801547845,
27,-89.53020714,,-84.77225435,,-19.2076254,,-72.609234,,-82.71060063,-6.850696777,-92.04469354,70.61468597,-90.19698391,56.23071844,-103.9823393,,-101.84125234526982,,-22.026478115048633,
28,-92.96678772,,-46.44568813,,-20.23167457,,-55.85143935,,-53.68532163,-39.54024322,-81.92718988,59.78180946,-77.90719084,46.18112413,-68.70627449,,-106.37642438844705,,-23.245335758278543,
29,-103.8365195,,-79.99678675,,-22.27572896,,-73.47938711,,-63.40060925,-40.71092661,-84.61166926,60.17007122,-68.73430562,-14.7239379,-84.34796674,,-92.7193866687403,,-20.210727955814946,
30,-100.8681355,,-70.90505377,,-21.87309986,,-83.97304983,,-88.34958996,-12.59120185,-102.9358765,78.19807831,-99.39242865,56.75863336,-89.43566264,,-105.14849270265222,,-23.39391522963615,
31,-90.65259959,,-107.3243139,,-19.43024048,,-81.84861201,,-93.86279922,3.227837285,-97.44956982,75.56872063,-96.22121792,54.03102385,-115.531866,,-95.0589576964494,,-20.704037416135634,
32,-99.31260937,,-70.86003193,,-21.84278753,,-66.49918067,,-69.75508957,-29.75167928,-88.34168467,64.21973529,-87.16979332,58.54418765,-83.21301946,,-100.88729258582134,,-21.554411181156638,
33,-100.7108168,,-106.3834894,,-21.91193203,,-64.42042349,,-101.6136945,0.906189064,-90.82268061,66.44840559,-88.8358541,81.46536103,-87.09167062,,-86.86164566511252,,-19.270324404186454,
34,-102.6027335,,-86.56628861,,-22.26094006,,-54.33142571,,-72.3641792,-30.42357744,-87.12353696,62.54087463,-89.90740905,77.70627756,-90.09423665,,-90.38484468712886,,-19.22037016675199,
35,-100.8361015,,-122.1960752,,-21.02654324,,-114.6928835,,-125.1065213,24.43436521,-99.72454049,76.00269155,-107.1836857,60.55654206,-104.0409108,,-92.8252547436814,,-20.00254766327066,
36,-94.11891321,,-110.099645,,-21.14657833,,-89.63914857,,-108.7667589,14.74340293,-102.6159082,78.69202292,-103.624424,66.66093893,-115.3961447,,-94.14993499166303,,-20.720674856564585,
37,-105.6511157,,-121.5079661,,-22.82703331,,-103.1839987,,-123.8703564,18.3297214,-108.528194,82.50237758,-109.6642515,77.45867699,-109.3822178,,-93.39356033900731,,-20.895689938495025,
38,-94.72744236,,-106.7924939,,-20.77514719,,-95.40594794,,-114.4116112,19.80368355,-105.95172,82.3070356,-106.9267583,74.42733208,-111.4082205,,-106.3695283228808,,-21.966434245082922,
39,-105.6373701,,-140.7378786,,-22.17156287,,-99.89029531,,-119.3342612,13.7847798,-101.9740979,76.91685469,-102.8880757,73.42927382,-123.9894531,,-92.9340091159138,,-20.13852463824037,
40,-90.57429198,,-105.9886023,,-20.28551873,,-97.48964502,,-115.1926835,24.76290137,-102.7255513,79.71895639,-106.2487169,63.36453187,-109.9437045,,-102.5073937566176,,-22.600555926504967,
41,-105.5941083,,-113.0241834,,-21.59576921,,-80.3951116,,-97.56770454,-8.076574626,-95.5449692,71.36603417,-95.65628611,62.76574497,-121.3337786,,-120.86609837687138,,-24.870734526479964,
42,-102.6808462,,-104.6886599,,-21.89655913,,-94.09646715,,-103.8644376,1.188739627,-98.29559996,73.65831468,-100.1286049,47.73396166,-94.84953841,,-98.24453463436839,,-21.06968463461922,
43,-95.55996599,,-98.75122155,,-20.11134523,,-62.33762577,,-107.2815913,11.80781872,-95.54348177,72.96655743,-93.76108138,84.61970469,-85.93893939,,-85.95652739972684,,-19.510764127943276,
44,-87.42389801,,-106.0793998,,-19.06952606,,-85.2918964,,-97.86905344,10.51709812,-90.79024312,69.56934331,-93.11860699,48.80080019,-106.9226796,,-102.41322481594761,,-22.325268950312648,
45,-96.78152848,,-109.6532065,,-20.96390184,,-83.81727114,,-123.4553906,26.83863252,-111.7256734,87.63092663,-110.2730191,96.45626154,-111.0197041,,-91.49159880115712,,-20.05875394794259,
46,-102.1915396,,-87.45327103,,-22.06017408,,-63.37292562,,-70.28294255,-32.1200107,-92.47999709,67.95566818,-94.18835989,75.22858969,-96.19011836,,-94.4694160666968,,-20.53028228810149,
47,-101.4868628,,-123.2103009,,-21.9142681,,-89.02081158,,-113.3090242,11.89709191,-104.8677525,80.00052527,-105.9454169,69.95305412,-121.8737776,,-108.49282400939046,,-22.74756313860331,
48,-101.1892376,,-71.28974014,,-22.3621334,,-59.81437159,,-61.79768755,-39.65382864,-87.53667573,62.86874067,-93.12831635,84.19746838,-85.82319191,,-110.7507290317917,,-23.761586008105255,
49,-99.59636141,,-110.5470856,,-21.37721244,,-77.59713223,,-96.47591406,-3.150561318,-99.93707159,75.85378818,-100.0889989,78.5020495,-118.9771546,,-85.31293664368422,,-18.973067364731378,
50,-103.2214135,,-92.92301196,,-22.46253756,,-75.27826308,,-85.41990895,-17.90855086,-96.71651861,71.57269643,-96.75796719,71.87710883,-98.01788403,,-115.23723698223694,,-25.010080613619266,
51,-101.3297999,,-76.72824052,,-21.57056386,,-74.82240206,,-64.0960982,-37.5197483,-89.8693974,66.00550338,-67.82628344,-22.34516619,-89.71665354,,-100.41854975591195,,-21.585918786547552,
52,-103.013316,,-99.76070185,,-22.63204985,,-95.96543489,,-102.9525439,-0.060211067,-104.1775031,78.56460761,-103.6397676,51.5299145,-108.6768204,,-102.5880794795712,,-21.95003623225648,
53,-105.6044324,,-103.6748707,,-23.19638582,,-78.48619673,,-93.71167183,-11.96304778,-102.0871331,75.90680959,-102.1588304,76.56891154,-112.471589,,-102.51680134341768,,-21.954573375774316,
54,-105.9389708,,-87.15726409,,-22.89128372,,-68.98934991,,-77.35661999,-28.76115345,-93.84622969,68.35818167,-94.07514994,69.61620569,-103.049215,,-100.2627620362382,,-22.011038295731872,
55,-109.5309479,,-111.2882794,,-23.20692394,,-63.82828461,,-113.5913921,4.068050212,-102.4970277,76.27751745,-100.9624817,90.70186778,-107.1686439,,-106.91436603712646,,-23.01165153443867,
56,-97.58527349,,-113.3736025,,-21.23074609,,-88.38789899,,-96.53520091,-1.061433052,-95.60279898,71.80106663,-95.64217415,66.77158073,-110.9471787,,-100.16183607452876,,-21.396034574478563,
57,-98.83956465,,-121.7726624,,-20.94858543,,-46.1220264,,-122.0333742,23.35231279,-94.91830947,71.45888776,-90.63258232,80.93203378,-94.8203232,,-102.24415562697322,,-22.149635430602927,
58,-97.48972898,,-80.36289369,,-21.65311856,,-71.0377945,,-61.87515556,-35.87144296,-85.6795526,61.83804463,-68.93877815,-6.480595336,-95.5484173,,-99.85992298104793,,-20.82028906615801,
59,-106.2136364,,-88.74434056,,-22.36222775,,-80.38877442,,-85.89360178,-20.47180904,-90.13758556,65.39924884,-88.41740417,34.50320632,-83.07488646,,-106.41583813056604,,-22.90844711912621,
60,-93.6044995,,-127.071408,,-19.97214604,,-123.1558387,,-146.5810347,53.31603321,-106.4829036,83.66088076,-122.9678078,70.89519518,-98.9494589,,-99.87409285089052,,-21.033447298648298,
61,-100.0956389,,-121.2602053,,-21.44316122,,-95.94383043,,-100.990959,0.900533537,-100.001855,75.82720156,-100.3236506,44.61747017,-113.8577707,,-90.4411765368659,,-19.797655759372333,
62,-98.7676118,,-109.6900383,,-21.78184568,,-92.14847266,,-98.44786064,-0.312277372,-90.93763957,66.72717125,-94.16187276,36.87471555,-95.8578625,,-97.3355641831331,,-20.977890898101805,
63,-93.07089478,,-96.83023569,,-20.17518129,,-51.71612605,,-112.1967334,19.24110429,-109.0242933,85.93051548,-109.2477811,102.7902103,-103.3204136,,-99.80757765761518,,-21.049524715629786,
64,-105.7890339,,-91.8540153,,-22.56491873,,-60.58389191,,-95.29206163,-10.56440125,-93.61658754,68.49030424,-93.77223322,80.76522764,-87.10038447,,-103.34785002551871,,-21.71519964318736,
65,-100.0885972,,-86.94840382,,-22.46164423,,-89.16726447,,-92.11410096,-8.026039634,-102.3037872,76.94501565,-97.9605774,41.55545156,-104.0314589,,-100.03366626066145,,-21.857482140513184,
66,-102.1886834,,-75.79943958,,-21.70784747,,-75.76093441,,-67.8068746,-34.62020131,-95.50887883,71.28119345,-82.10754976,20.33792336,-93.16891816,,-103.86036103041079,,-22.828576624592927,
67,-102.7552379,,-128.7767325,,-21.94364506,,-119.7588094,,-117.9286627,15.26968932,-95.99369891,71.37086877,-114.1331337,24.86009705,-97.64479589,,-111.87946348597325,,-23.769968222173247,
68,-103.1552367,,-87.66101622,,-22.46803325,,-70.00019457,,-65.16815425,-38.23804668,-90.77017539,65.86851404,-87.38698535,52.35582993,-100.0642939,,-104.13031482328188,,-22.45449291486527,
69,-98.25791221,,-136.6151448,,-21.97442439,,-110.7216377,,-120.4877982,22.36449684,-96.80620696,72.10330581,-103.3808491,58.01632066,-109.931102,,-89.55352996723377,,-18.919286134126423,
70,-101.9639744,,-97.52152718,,-22.06720298,,-77.09900904,,-92.30565606,-9.717905841,-100.4382932,75.55220293,-101.2979075,83.57167889,-107.426908,,-102.93941094234106,,-22.554085529328745,
71,-105.7134714,,-99.35900687,,-22.90106947,,-66.29704059,,-71.1290084,-34.8250504,-89.83671374,64.51137636,-88.78891286,59.274074,-112.0911138,,-105.81045931493463,,-22.994420802184663,
72,-90.99767818,,-110.8687302,,-19.43139558,,-54.07956349,,-129.2660861,38.48667628,-110.693664,88.34166957,-108.3049845,96.69505462,-114.4827954,,-95.78744585502682,,-20.540296002822743,
73,-99.64221913,,-103.6093738,,-21.7435598,,-87.84512726,,-97.64269265,-2.015040635,-95.58873644,71.24876182,-95.9183956,55.99766512,-98.78086194,,-102.78535950527476,,-22.208623870108653,
74,-99.62304735,,-126.4361131,,-21.23132964,,-71.50945255,,-135.716377,36.31088032,-110.9933509,86.59612084,-108.2333164,93.05868756,-115.0634525,,-104.16518410952449,,-22.459271089107915,
75,-98.7343566,,-101.7720943,,-21.19894802,,-79.23291953,,-107.1718997,8.480929975,-105.2007252,81.13852474,-105.2044389,80.64106414,-107.387138,,-96.07029815330952,,-21.215730705389092,
76,-96.92332313,,-101.197652,,-20.71275789,,-85.42371524,,-105.5211357,8.648860657,-98.39845489,75.07828484,-99.3072159,65.39916785,-106.4839403,,-96.66456184789331,,-21.00705375780865,
77,-99.70266195,,-111.8178604,,-20.95595555,,-93.8207748,,-130.8245558,31.32495321,-107.890044,83.95106974,-108.125504,83.37287583,-102.0471597,,-104.51464853989091,,-22.965250845294804,
78,-101.9197549,,-125.4606221,,-21.47106853,,-100.2213646,,-116.5145639,14.70104587,-97.21650809,73.09665975,-101.9721759,58.19702909,-104.785455,,-95.99534252045942,,-20.686892964830804,
79,-102.7479972,,-83.63616401,,-21.42118929,,-60.29210631,,-81.03332973,-21.84909683,-92.24918181,68.39775252,-93.98394273,80.28275002,-92.11561762,,-100.80600579543898,,-21.97140740502573,
80,-95.46307647,,-93.08641031,,-20.95791391,,-70.60156945,,-99.45688225,4.015066838,-94.82703846,71.35161539,-94.26793108,83.33804604,-96.25650788,,-97.81820898035039,,-21.744462145432465,
81,-93.25580638,,-61.38075434,,-20.68560658,,-53.34215124,,-53.46825635,-40.02257219,-85.62937036,62.82628433,-86.68967753,66.06980717,-93.56320065,,-105.30272350690848,,-22.58122866711551,
82,-97.90484571,,-87.21246541,,-21.52178459,,-83.44785053,,-95.54176117,-2.390018549,-104.5743133,80.20035593,-103.8790157,74.28686151,-111.9256886,,-97.09628810777485,,-21.465409466842488,
83,-102.4556707,,-134.9026322,,-21.51965273,,-105.4484398,,-124.3172587,22.02106553,-98.85878357,74.61830941,-103.2356228,65.29200641,-105.4315209,,-106.50504108826681,,-22.577028346950442,
84,-106.871556,,-126.847243,,-22.78300713,,-119.7269963,,-129.3236626,22.60689596,-110.4379345,84.37569574,-114.6416472,70.29222272,-111.4024985,,-104.91600668238061,,-22.310149038094437,
85,-106.7595672,,-128.4403228,,-21.64792342,,-112.2084961,,-138.9669322,32.39701353,-116.6837861,91.6378381,-120.8062036,80.13097685,-121.8836619,,-97.48045416369132,,-21.516643625126875,
86,-106.1614703,,-127.85782,,-22.99013962,,-51.15354741,,-139.4405697,33.51226056,-107.1265463,80.93456032,-99.51037576,94.71861858,-95.68191662,,-99.13585870139286,,-21.776986074926015,
87,-89.278851,,-106.011227,,-19.07078764,,-89.44742372,,-120.1293369,31.06126407,-94.83061184,73.42533127,-99.56617243,65.13114762,-91.62581185,,-103.5551801818392,,-22.47879066563928,
88,-102.4939555,,-124.6374722,,-21.13531071,,-108.7955134,,-130.2204792,27.91552716,-107.8350038,83.70013402,-111.9591843,73.02079256,-107.2609107,,-91.71556336958838,,-19.74210330151304,
89,-105.7097167,,-111.9815249,,-23.07808064,,-111.3994538,,-117.0962853,11.46224306,-102.0352805,75.96012677,-110.2656387,40.11244069,-90.63074046,,-87.15996760259623,,-19.42154375460734,
90,-102.9176692,,-137.7890726,,-21.75242359,,-72.69406824,,-134.7150217,32.00332474,-105.9604224,81.1876325,-101.9584755,88.86520434,-111.4605691,,-95.5050023852773,,-21.398044529857657,
91,-98.49242496,,-111.7079655,,-21.33775066,,-97.3258767,,-104.2594237,5.804423814,-102.0010289,77.86024268,-102.9623084,42.86582562,-119.0234605,,-102.01704286832228,,-22.169713735904224,
92,-97.21373649,,-85.04779414,,-20.48470625,,-51.73627365,,-79.26677299,-18.06516856,-91.90781633,69.09220303,-95.25569326,88.25364777,-98.92940357,,-105.36499801731316,,-22.707431273920633,
93,-100.0696499,,-89.08228369,,-21.17286523,,-66.50629691,,-90.06808999,-10.04952176,-98.68314389,74.8661914,-100.2041888,87.40330633,-94.98012346,,-95.56152775596911,,-21.459102348149486,
94,-94.72771865,,-62.09994934,,-21.6407486,,-55.73485284,,-35.67489781,-59.41781491,-79.64987901,56.05281175,-68.59557624,27.38107955,-95.72957572,,-92.31272838696532,,-19.95608337966874,
95,-95.49015152,,-92.37146388,,-21.28774728,,-89.90544964,,-103.2504684,7.810711795,-97.28044071,73.37504455,-98.00580349,64.59056192,-96.2494488,,-92.73398927378457,,-20.040756775830175,
96,-96.86101846,,-89.84070716,,-21.15408025,,-78.00159054,,-103.0550042,6.221592638,-97.68129584,73.89813541,-97.35603893,79.18517327,-82.29384722,,-94.34551035885852,,-20.452345118977746,
97,-103.4812654,,-90.60734182,,-22.05632336,,-72.36369603,,-87.20457078,-16.38514375,-88.96363735,64.52750196,-89.06985054,67.640052,-78.16301489,,-95.43853779141955,,-20.49182748474658,
98,-112.3343724,,-137.6898269,,-23.15156612,,-112.1858812,,-133.9510588,21.75356341,-106.6210243,80.27027209,-109.1502075,74.65960189,-108.0927176,,-102.11477615301737,,-21.471447367290054,
99,-100.1168653,,-85.84250582,,-22.06240698,,-60.02811898,,-81.09109192,-19.14952962,-92.17266816,67.64807676,-94.25475765,81.50868565,-96.13689679,,-108.08944735759178,,-23.392578939210694,
